69 121
4 11 0.2796
11 21 0.7638
21 8 0.7835
8 0 0.4412
0 22 0.9483
22 49 0.5338
49 14 0.0816
14 47 0.4622
21 7 0.8626
7 65 0.1857
49 64 0.7914
65 36 0.2473
36 56 0.6225
56 50 0.2973
50 59 0.0485
59 60 0.4164
60 6 0.0529
47 58 0.5333
58 27 0.1481
27 16 0.7036
16 38 0.6096
6 61 0.4313
61 30 0.8514
30 32 0.8425
16 9 0.7849
9 41 0.8500
14 67 0.4730
67 28 0.2330
28 35 0.1850
35 62 0.0360
62 66 0.8791
8 17 0.8823
17 34 0.7446
34 24 0.0096
0 5 0.3655
5 23 0.2969
23 68 0.3807
49 45 0.7880
30 37 0.3710
38 25 0.6397
25 29 0.4653
29 26 0.0320
26 53 0.4137
53 52 0.0619
17 63 0.8452
7 18 0.7553
67 10 0.1491
14 40 0.6696
53 12 0.2597
21 54 0.7396
49 3 0.5915
35 31 0.0214
66 15 0.8472
67 19 0.5205
35 43 0.0224
58 39 0.3311
53 55 0.3421
55 13 0.1669
12 44 0.7998
30 33 0.5503
44 20 0.0169
17 57 0.3244
49 51 0.4880
57 42 0.5371
64 2 0.7002
50 48 0.1593
20 46 0.8220
25 1 0.3522
9 28 0.5469
6 23 0.1299
5 34 0.8701
16 56 0.1706
28 48 0.6442
24 53 0.6466
12 34 0.4400
19 41 0.7599
12 63 0.2148
18 66 0.5260
37 57 0.3884
30 52 0.5595
55 68 0.7712
9 45 0.1930
5 9 0.9099
7 14 0.7622
23 44 0.5776
33 53 0.7058
10 15 0.5050
4 22 0.5134
8 10 0.6353
16 65 0.9426
46 49 0.2527
15 22 0.7292
19 63 0.5663
22 29 0.3701
33 45 0.1615
44 47 0.9992
33 36 0.9312
3 16 0.9653
35 47 0.0130
20 31 0.3952
3 25 0.4573
8 13 0.4325
55 67 0.9228
20 36 0.5200
6 30 0.5337
50 61 0.2523
23 55 0.0627
37 48 0.8591
3 24 0.9221
36 63 0.9858
49 62 0.7482
25 39 0.2422
43 52 0.9030
10 27 0.9141
34 43 0.3777
35 41 0.7364
20 41 0.4528
50 51 0.4847
14 16 0.7927
18 53 0.0883
16 54 0.8545
100 500
68 76 0.3120
76 30 0.4753
30 33 0.5747
33 70 0.7747
70 16 0.0106
16 32 0.9353
32 11 0.2977
11 49 0.2749
49 43 0.3648
43 17 0.2809
17 1 0.2539
1 59 0.3310
59 21 0.1175
21 22 0.8500
22 51 0.2373
30 3 0.4613
3 63 0.7889
63 8 0.6120
8 10 0.5231
17 37 0.1895
1 12 0.6838
12 74 0.1761
74 69 0.7576
69 44 0.9571
43 31 0.9810
31 77 0.7508
77 23 0.7164
23 40 0.1680
40 58 0.9207
58 92 0.2447
92 64 0.5736
17 50 0.6916
1 89 0.1409
89 14 0.3640
12 4 0.9920
4 80 0.5980
80 53 0.9689
53 62 0.2957
40 45 0.9892
45 29 0.7504
53 81 0.2756
81 65 0.1057
65 87 0.6501
62 35 0.9331
11 86 0.4362
64 7 0.7407
7 73 0.8228
23 88 0.4475
10 15 0.2531
15 47 0.3746
37 41 0.5974
10 97 0.1430
97 93 0.4635
93 9 0.6221
49 72 0.3254
15 78 0.2314
76 0 0.1787
0 91 0.5029
80 5 0.4703
5 26 0.9877
43 28 0.1504
28 54 0.6481
1 67 0.5812
67 84 0.0524
84 42 0.6270
42 98 0.2294
98 55 0.0944
59 96 0.9475
96 99 0.8056
31 25 0.7003
97 2 0.5633
77 18 0.8943
74 82 0.2983
99 27 0.4141
93 39 0.5069
55 85 0.5823
25 61 0.8482
61 66 0.1068
28 13 0.6769
69 36 0.2028
9 57 0.4003
44 6 0.1240
72 75 0.8022
11 19 0.5205
30 46 0.8917
82 71 0.6931
17 56 0.2473
21 20 0.6901
42 34 0.2998
27 38 0.9303
5 83 0.8964
71 52 0.1572
52 48 0.6136
