3 3
1 0 0.9352
1 2 0.7121
0 2 0.1269
5 10
1 2 0.7331
2 4 0.9385
1 0 0.6404
0 3 0.2924
3 4 0.1691
0 4 0.7720
2 3 0.4412
1 4 0.6615
1 3 0.6683
0 2 0.5570
5 10
0 1 0.9339
1 3 0.6473
0 4 0.1341
1 2 0.3136
2 3 0.4868
0 3 0.7942
2 4 0.7988
0 2 0.9048
1 4 0.8945
3 4 0.6023
7 10
0 3 0.6309
3 2 0.5695
2 4 0.3680
4 1 0.4436
0 6 0.2113
4 5 0.8735
5 6 0.0763
2 5 0.0034
0 4 0.9798
1 3 0.8474
10 17
3 1 0.5031
1 4 0.9567
4 8 0.3953
8 6 0.9632
6 5 0.7567
5 2 0.8430
2 9 0.6685
1 0 0.9342
6 7 0.7911
0 4 0.1709
0 7 0.7765
5 7 0.8698
1 9 0.4066
4 5 0.3460
2 8 0.0684
3 8 0.6968
3 5 0.2145
10 15
9 8 0.4864
8 5 0.2572
8 3 0.6281
8 6 0.8977
6 0 0.3216
0 4 0.0782
9 1 0.7503
4 7 0.1908
7 2 0.5827
4 8 0.4367
6 7 0.5746
2 3 0.3652
5 7 0.4949
3 4 0.9439
5 9 0.1878
11 11
9 4 0.5362
4 8 0.9244
8 7 0.8013
7 6 0.1900
6 3 0.3142
4 1 0.1865
1 10 0.0195
8 2 0.6259
7 5 0.8495
4 0 0.0754
5 10 0.2299
11 18
0 7 0.8498
7 2 0.9822
7 6 0.3464
2 3 0.9098
3 10 0.9258
10 5 0.2762
5 9 0.2252
6 8 0.6014
5 4 0.7399
4 1 0.9880
0 3 0.9367
0 4 0.2974
0 10 0.2790
3 5 0.5092
5 8 0.8752
0 6 0.4323
3 6 0.3554
7 8 0.3781
11 55
9 5 0.8829
9 7 0.0638
7 3 0.1366
3 0 0.2357
0 8 0.0657
8 10 0.9227
10 2 0.5512
7 6 0.4124
8 4 0.7473
3 1 0.5712
0 6 0.3075
4 6 0.9480
4 5 0.8547
6 8 0.4264
2 4 0.0934
0 2 0.8575
4 9 0.2182
2 6 0.2468
1 9 0.8035
3 5 0.8278
5 8 0.3028
5 10 0.5346
2 5 0.6813
3 4 0.9505
7 8 0.6643
1 4 0.9375
1 2 0.9694
5 6 0.5511
2 9 0.9589
1 10 0.8383
4 7 0.7095
0 4 0.2726
3 6 0.9026
0 7 0.7721
6 9 0.6370
3 8 0.3888
1 7 0.6335
7 10 0.3215
0 10 0.8963
9 10 0.9527
3 9 0.0021
0 9 0.0449
2 3 0.8471
0 1 0.2501
3 10 0.1650
5 7 0.2594
8 9 0.1107
1 6 0.2738
2 8 0.1090
1 8 0.6632
6 10 0.6738
2 7 0.4972
0 5 0.5688
4 10 0.4463
1 5 0.8570
12 66
7 9 0.8350
9 1 0.8960
1 11 0.8160
11 8 0.6938
8 10 0.2490
8 3 0.2140
3 6 0.9546
10 0 0.6506
9 5 0.5632
11 4 0.3339
8 2 0.7036
1 8 0.9424
3 11 0.9090
4 5 0.7299
7 10 0.2640
2 10 0.7851
4 6 0.6851
7 11 0.7656
3 9 0.5905
9 11 0.3444
6 8 0.2691
6 10 0.4199
4 10 0.6153
3 10 0.7687
4 9 0.0694
9 10 0.8531
6 9 0.7742
0 6 0.9774
5 10 0.6386
6 11 0.8602
1 5 0.9760
2 5 0.7938
1 6 0.6893
1 10 0.4097
3 7 0.6749
2 11 0.7313
2 7 0.8668
6 7 0.3612
0 8 0.2345
4 8 0.7716
0 5 0.4461
0 1 0.3125
10 11 0.4239
1 2 0.4771
5 7 0.3431
0 2 0.7606
0 3 0.1103
4 7 0.5452
2 4 0.0217
3 4 0.0198
0 7 0.2437
5 11 0.0299
2 3 0.5316
1 4 0.9558
5 8 0.1523
0 4 0.6250
3 5 0.3136
0 11 0.5614
2 9 0.3267
8 9 0.5208
7 8 0.6629
2 6 0.2470
1 3 0.5500
0 9 0.0419
5 6 0.3179
1 7 0.1549
0 0
